"group","id","time","y"
33,4,39,3
33,4,40,4
33,4,41,5
33,4,42,5
33,4,43,4
33,4,44,5
33,4,45,4
33,4,46,4
33,4,47,4
33,4,48,4
33,4,49,5
33,4,50,5
33,4,51,4
33,4,52,4
33,4,53,3
33,4,54,3
33,4,55,4
33,4,56,5
33,4,57,4
33,4,58,3
33,4,59,4
33,4,60,4
33,4,61,4
33,4,62,5
33,4,63,5
33,4,64,4
33,4,65,5
33,4,66,4
33,4,67,4
33,4,68,3
33,4,69,5
33,4,70,4
33,4,71,4
33,4,72,4
33,4,73,5
33,4,74,4
33,4,75,4
33,4,76,4
33,4,77,4
33,4,78,4
33,4,79,4
33,4,80,4
33,5,1,4
33,5,2,4
33,5,3,3
33,5,4,5
33,5,5,4
33,5,6,5
33,5,7,4
33,5,8,4
33,5,9,4
33,5,10,4
33,5,11,5
33,5,12,3
33,5,13,4
33,5,14,4
33,5,15,5
33,5,16,3
33,5,17,5
33,5,18,5
33,5,19,4
33,5,20,4
33,5,21,4
33,5,22,4
33,5,23,5
33,5,24,5
33,5,25,4
33,5,26,4
33,5,27,4
33,5,28,5
33,5,29,4
33,5,30,4
33,5,31,4
33,5,32,4
33,5,33,4
33,5,34,4
33,5,35,4
33,5,36,4
33,5,37,5
33,5,38,5
33,5,39,4
33,5,40,4
33,5,41,5
33,5,42,5
33,5,43,4
33,5,44,4
33,5,45,5
33,5,46,5
33,5,47,4
33,5,48,4
33,5,49,3
33,5,50,4
33,5,51,4
33,5,52,4
33,5,53,6
33,5,54,4
33,5,55,4
33,5,56,4
33,5,57,5
33,5,58,4
33,5,59,4
33,5,60,3
33,5,61,4
33,5,62,5
33,5,63,4
33,5,64,5
33,5,65,4
33,5,66,4
33,5,67,4
33,5,68,5
33,5,69,5
33,5,70,4
33,5,71,4
33,5,72,4
33,5,73,4
33,5,74,4
33,5,75,4
33,5,76,4
33,5,77,5
33,5,78,4
33,5,79,5
33,5,80,5
33,6,1,4
33,6,2,4
33,6,3,4
33,6,4,5
33,6,5,5
33,6,6,5
33,6,7,5
33,6,8,2
33,6,9,4
33,6,10,4
33,6,11,3
33,6,12,4
33,6,13,2
33,6,14,5
33,6,15,3
33,6,16,4
33,6,17,3
33,6,18,3
33,6,19,5
33,6,20,2
33,6,21,3
33,6,22,5
33,6,23,3
33,6,24,5
33,6,25,4
33,6,26,3
33,6,27,5
33,6,28,3
33,6,29,4
33,6,30,3
33,6,31,4
33,6,32,4
33,6,33,3
33,6,34,5
33,6,35,5
33,6,36,6
33,6,37,3
33,6,38,4
33,6,39,5
33,6,40,3
33,6,41,4
33,6,42,4
33,6,43,3
